Rk,Gcar,Gtm,Date,Team,NA,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
114.0,893.0,118.0,2024-08-10 (2),NYY,,TEX,L 4-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,0.303,0.429,0.577,1.006,0,0,0,0,0,0,0.71,0.012,0.86,0.01%,0.12,0.0,0.0,2.0,RF
115.0,894.0,119.0,2024-08-11,NYY,,TEX,W 8-7,CG,5,5,2,2,0,0,2,2,0,0,0,0,0.304,0.429,0.589,1.018,8,0,0,0,0,0,0.59,0.014,0.75,0.01%,0.06,28.0,37.4,2.0,RF
116.0,895.0,120.0,2024-08-12,NYY,@,CHW,L 2-12,CG,5,2,0,0,0,0,0,0,0,0,3,0,0.302,0.431,0.586,1.017,0,0,0,0,0,0,1.43,-0.05,1.82,-0.04%,-0.2,6.0,9.0,2.0,RF
117.0,896.0,121.0,2024-08-13,NYY,@,CHW,W 4-1,CG,5,4,3,3,0,0,3,4,0,0,1,0,0.306,0.434,0.608,1.042,12,0,0,0,0,0,0.6,0.324,0.75,0.24%,3.98,46.0,62.6,2.0,RF
118.0,897.0,122.0,2024-08-14,NYY,@,CHW,W 10-2,CG,5,2,3,1,0,0,1,1,0,0,3,0,0.307,0.438,0.615,1.052,4,0,0,0,0,1,0.85,0.159,1.11,0.13%,1.5,24.0,34.1,2.0,RF
119.0,898.0,123.0,2024-08-16,NYY,@,DET,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,0,0.305,0.436,0.61,1.047,0,0,0,0,0,0,0.89,-0.03,1.08,-0.02%,-0.45,2.0,3.0,2.0,RF
120.0,899.0,124.0,2024-08-17,NYY,@,DET,L 0-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,0.302,0.433,0.605,1.038,0,0,0,0,0,0,0.74,-0.071,0.89,-0.05%,-1.03,0.0,0.0,2.0,RF
121.0,900.0,125.0,2024-08-18,NYY,@,DET,L 2-3 (10),CG(10),4,3,0,0,0,0,0,0,0,0,1,1,0.3,0.432,0.601,1.033,0,0,0,0,0,0,1.09,0.022,1.42,0.02%,0.07,2.0,3.0,2.0,RF
122.0,901.0,126.0,2024-08-20,NYY,,CLE,L 5-9 (12),CG(12),6,5,1,1,0,0,1,1,0,0,1,1,0.299,0.431,0.603,1.034,4,0,0,0,0,0,1.3,0.073,1.8,0.06%,0.1,16.0,21.7,2.0,RF
123.0,902.0,127.0,2024-08-21,NYY,,CLE,W 8-1,CG,4,3,2,2,1,0,1,5,0,0,1,0,0.302,0.433,0.612,1.045,6,0,0,0,0,0,0.68,0.228,0.99,0.20%,3.88,31.0,44.9,2.0,RF
124.0,903.0,128.0,2024-08-22,NYY,,CLE,W 6-0,CG,4,4,1,0,0,0,0,0,0,0,0,2,0.299,0.43,0.607,1.037,0,0,0,0,0,0,1.07,-0.081,1.53,-0.07%,-1.33,2.0,3.2,2.0,RF
125.0,904.0,129.0,2024-08-23,NYY,,COL,W 3-0,CG,4,3,0,0,0,0,0,0,0,0,1,0,0.297,0.429,0.603,1.032,0,0,0,0,0,0,0.89,-0.033,1.18,-0.03%,-0.59,2.0,3.0,2.0,RF
126.0,905.0,130.0,2024-08-24,NYY,,COL,L 2-9,CG,4,4,0,1,0,0,0,0,0,0,0,1,0.297,0.427,0.6,1.027,1,0,0,0,0,0,0.71,0.028,0.86,0.02%,-0.09,3.0,3.0,2.0,RF
127.0,906.0,131.0,2024-08-25,NYY,,COL,W 10-3,CG,5,4,1,2,0,0,1,2,0,0,1,1,0.299,0.429,0.606,1.034,5,0,0,0,0,0,0.78,0.174,0.99,0.13%,1.8,21.0,28.2,2.0,RF
128.0,907.0,132.0,2024-08-26,NYY,@,WSN,W 5-2,CG,5,4,0,0,0,0,0,0,0,0,1,1,0.296,0.427,0.6,1.027,0,0,0,0,0,0,0.58,-0.022,0.7,-0.02%,-0.74,2.0,3.0,2.0,RF
129.0,908.0,133.0,2024-08-27,NYY,@,WSN,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,0.294,0.424,0.595,1.019,0,0,0,0,0,0,0.97,0.024,1.13,0.02%,0.31,0.0,0.0,2.0,RF
130.0,909.0,134.0,2024-08-28,NYY,@,WSN,L 2-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,0.291,0.421,0.59,1.012,0,0,0,0,0,0,0.75,-0.058,0.93,-0.04%,-0.74,0.0,0.0,2.0,RF
131.0,910.0,135.0,2024-08-30,NYY,,STL,W 6-3,CG,4,4,1,2,1,0,0,1,0,0,0,1,0.293,0.422,0.592,1.013,3,0,0,0,0,0,0.79,0.139,0.99,0.11%,0.95,12.0,15.7,2.0,RF
132.0,911.0,136.0,2024-08-31,NYY,,STL,L 5-6,CG,5,5,0,1,1,0,0,0,0,0,0,2,0.292,0.42,0.59,1.01,2,1,0,0,0,0,0.91,0.011,1.17,0.01%,-1.14,5.0,6.0,2.0,RF
133.0,912.0,137.0,2024-09-01,NYY,,STL,L 7-14,CG,5,5,0,1,0,0,0,0,0,1,0,0,0.291,0.418,0.586,1.004,1,1,0,0,0,0,1.31,-0.239,1.63,-0.18%,-1.93,3.0,3.0,2.0,RF
134.0,913.0,138.0,2024-09-02,NYY,@,TEX,W 8-4,CG,5,4,1,2,0,0,0,0,0,0,1,0,0.293,0.42,0.585,1.005,2,1,0,0,0,0,0.8,-0.039,1.07,-0.03%,0.04,10.0,12.2,2.0,RF
135.0,914.0,139.0,2024-09-03,NYY,@,TEX,L 4-7,CG,5,3,1,0,0,0,0,0,0,1,1,1,0.291,0.419,0.582,1.001,0,0,1,0,0,0,1.22,-0.047,1.62,-0.04%,-0.46,6.0,9.2,2.0,RF
136.0,915.0,140.0,2024-09-04,NYY,@,TEX,L 6-10,GS-8,4,3,1,3,1,0,1,2,0,0,1,0,0.295,0.423,0.592,1.015,7,0,0,0,0,0,0.54,0.127,0.69,0.10%,2.78,26.0,34.2,2.0,RF
137.0,916.0,141.0,2024-09-06,NYY,@,CHC,W 3-0,CG,4,4,1,1,0,0,0,0,0,0,0,1,0.295,0.422,0.589,1.011,1,0,0,0,0,0,0.93,0.012,1.29,0.01%,-0.08,5.0,6.2,2.0,RF
138.0,917.0,142.0,2024-09-07,NYY,@,CHC,W 2-0,CG,4,2,0,0,0,0,0,0,0,0,2,1,0.294,0.422,0.587,1.01,0,0,0,0,0,0,0.88,0.028,1.19,0.02%,0.43,4.0,6.0,2.0,RF
139.0,918.0,143.0,2024-09-08,NYY,@,CHC,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0.291,0.42,0.583,1.002,0,0,0,0,0,0,1.57,-0.159,2.02,-0.12%,-1.1,0.0,0.0,2.0,RF
140.0,919.0,144.0,2024-09-09,NYY,,KCR,W 10-4,CG,5,2,1,1,0,0,0,0,0,0,3,0,0.292,0.423,0.582,1.005,1,0,0,0,0,0,1.18,0.118,1.68,0.10%,1.65,11.0,15.2,2.0,RF
141.0,920.0,145.0,2024-09-10,NYY,,KCR,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,0.29,0.42,0.578,0.998,0,0,0,0,0,0,0.87,-0.088,1.21,-0.07%,-0.98,0.0,0.0,2.0,RF
142.0,921.0,146.0,2024-09-11,NYY,,KCR,W 4-3 (11),CG(11),5,5,1,1,0,0,1,2,0,0,0,2,0.289,0.418,0.58,0.998,4,0,0,0,0,0,1.58,0.265,2.47,0.25%,1.01,16.0,22.2,2.0,RF
143.0,922.0,147.0,2024-09-12,NYY,,BOS,W 2-1 (10),CG(10),5,4,0,1,0,0,0,1,0,0,1,2,0.289,0.418,0.577,0.996,1,0,0,0,0,0,1.19,0.161,1.65,0.13%,0.47,7.0,9.5,2.0,RF
144.0,923.0,148.0,2024-09-13,NYY,,BOS,W 5-4,CG,4,3,1,0,0,0,0,0,0,0,1,1,0.287,0.417,0.574,0.991,0,0,0,0,0,0,1.3,0.064,1.72,0.05%,0.35,4.0,6.2,2.0,RF
145.0,924.0,149.0,2024-09-14,NYY,,BOS,L 1-7,CG,4,4,0,0,0,0,0,0,0,0,0,1,0.285,0.415,0.57,0.985,0,0,0,0,0,0,0.53,0.005,0.57,0.00%,-0.23,0.0,0.0,2.0,RF
146.0,925.0,150.0,2024-09-15,NYY,,BOS,W 5-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,0.285,0.414,0.567,0.981,1,0,0,0,0,0,0.61,-0.02,0.85,-0.02%,-0.37,5.0,6.2,2.0,RF
147.0,926.0,151.0,2024-09-17,NYY,@,SEA,W 11-2,GS-8,4,2,3,2,1,0,1,2,0,0,2,0,0.287,0.417,0.576,0.994,6,0,0,0,0,0,0.85,0.23,0.98,0.16%,3.32,29.0,40.6,2.0,RF
148.0,927.0,152.0,2024-09-18,NYY,@,SEA,W 2-1 (10),CG(10),4,2,0,1,1,0,0,0,1,0,2,1,0.288,0.419,0.578,0.997,2,0,0,0,0,0,0.53,0.057,0.43,0.03%,0.57,14.0,18.0,2.0,RF
149.0,928.0,153.0,2024-09-19,NYY,@,SEA,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,1,2,0.287,0.418,0.575,0.993,0,0,0,0,0,0,1.23,-0.008,0.54,0.00%,-0.36,2.0,3.0,2.0,RF
150.0,929.0,154.0,2024-09-20,NYY,@,OAK,W 4-2 (10),10-10,1,1,0,1,1,0,0,1,0,0,0,0,0.288,0.419,0.577,0.997,2,0,0,0,0,0,2.38,0.135,1.59,0.05%,1.0,7.0,9.5,7.0,PH
151.0,930.0,155.0,2024-09-21,NYY,@,OAK,W 10-0,CG,6,6,2,2,0,0,0,0,0,0,0,0,0.288,0.418,0.575,0.993,2,0,0,0,0,0,0.36,0.071,0.23,0.03%,-0.27,10.0,12.4,2.0,RF
152.0,931.0,156.0,2024-09-22,NYY,@,OAK,W 7-4,CG,5,3,2,0,0,0,0,0,0,0,1,0,0.287,0.418,0.572,0.99,0,0,1,0,0,0,0.87,-0.045,0.26,-0.01%,-0.04,8.0,12.4,2.0,RF
153.0,932.0,157.0,2024-09-24,NYY,,BAL,L 3-5,CG,4,4,0,1,0,0,0,1,0,0,0,0,0.286,0.417,0.569,0.987,1,0,0,0,0,0,1.86,-0.085,0.3,-0.01%,-0.42,5.0,6.5,2.0,RF
154.0,933.0,158.0,2024-09-25,NYY,,BAL,L 7-9,CG,5,4,2,2,0,0,1,3,0,0,1,1,0.288,0.419,0.574,0.993,5,0,0,0,0,0,0.49,0.03,0.14,0.01%,2.85,25.0,34.9,2.0,RF
155.0,934.0,159.0,2024-09-26,NYY,,BAL,W 10-1,CG,4,4,2,1,0,0,0,0,0,0,0,2,0.288,0.418,0.572,0.99,1,0,0,0,0,0,0.53,0.006,0.19,0.00%,0.38,7.0,9.4,2.0,RF
156.0,935.0,160.0,2024-09-27,NYY,,PIT,L 2-4,CG,4,3,0,1,0,0,0,0,1,0,1,2,0.288,0.418,0.571,0.989,1,0,0,0,0,1,1.26,0.036,0.22,0.00%,0.73,10.0,12.0,2.0,DH
157.0,936.0,161.0,2024-09-28,NYY,,PIT,L 4-9,CG,5,3,0,1,0,0,0,1,0,0,2,1,0.288,0.419,0.569,0.989,1,0,0,0,0,0,0.93,-0.018,0.16,0.00%,0.52,9.0,12.5,2.0,RF
,,,,,,,92-65,,713,576,128,166,31,4,41,109,7,4,129,119,0.288,0.419,0.569,0.989,328,10,4,0,4,2,0.87,5.908,1.0,3.99%,69.54,19.0,25.2,,
